nombre,numero
Adolfo Alsina,001
Alberti,002
Almirante Brown,003
Avellaneda,004
Ayacucho,005
Azul,006
Bahía Blanca,007
Balcarce,008
Baradero,009
Arrecifes,010
Berazategui,011
Berisso,012
Bolívar,013
Bragado,014
Brandsen,015
Campana,016
Cañuelas,017
Capitán Sarmiento,018
Carlos Casares,019
Carlos Tejedor,020
Carmen de Areco,021
Patagones,022
Castelli,023
Colón,024
Coronel Dorrego,025
Coronel Pringles,026
Coronel Rosales,027
Coronel Suárez,028
Chacabuco,029
Chascomús,030
Chivilcoy,031
Daireaux,032
Dolores,033
Ensenada,034
Escobar,035
Esteban Echeverría,036
Exaltación de la Cruz,037
Florencio Varela,038
General Alvarado,039
General Alvear,040
General Arenales,041
General Belgrano,042
General Guido,043
General Lamadrid,044
Las Heras,045
General Lavalle,046
General Madariaga,047
General Paz,048
General Pinto,049
General Pueyrredón,050
General Rodríguez,051
General San Martín,052
San Miguel,053
General Viamonte,054
General Villegas,055
Gonzales Chaves,056
Guamini,057
Hipólito Yrigoyen,058
Juárez,059
Junín,060
La Matanza,061
Lanús,062
La Plata,063
Laprida,064
Las Flores,065
Leandro N. Alem,066
Lincoln,067
Loberia,068
Lobos,069
Lomas de Zamora,070
Luján,071
Magdalena,072
Maipú,073
Mar Chiquita,074
Marcos Paz,075
Mercedes,076
Merlo,077
Monte,078
Moreno,079
Morón,080
Navarro,081
Necochea,082
Nueve de Julio,083
Olavarría,084
Pehuajó,085
Pellegrini,086
Pergamino,087
Pila,088
Pilar,089
Pinamar,090
Puan,091
Quilmes,092
Ramallo,093
Rauch,094
Rivadavia,095
Rojas,096
Roque Pérez,097
Saavedra,098
Saladillo,099
Salliqueló,100
Salto,101
San Andrés de Giles,102
San Antonio de Areco,103
San Cayetano,104
San Fernando,105
San Isidro,106
San Nicolás,107
San Pedro,108
San Vicente,109
Suipacha,110
Tandil,111
Tapalqué,112
Tigre,113
Tornquist,114
Trenque Lauquén,115
Tordillo,116
Tres Arroyos,117
Tres de Febrero,118
La Costa,119
Monte Hermoso,120
Veinticinco de Mayo,121
Vicente López,122
Villa Gesell,123
Villarino,124
Zárate,125
Tres Lomas,126
F. Ameghino,127
Presidente Perón,128
J. C. Paz,129
Malvinas Argentinas,130
Punta Indio,131
Ezeiza,132
Ituzaingo,133
Hurlingham,134
Lezama,135
